,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre,release_year,release_month
0,2000-11-17 00:00:00+00:00,How the Grinch Stole Christmas,Based on Fiction Book/Short Story,123000000,55820330,260044825,438980791,85096578,345141403,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Won 1 Oscar. Another 17 wins & 37 nominations.,PG,104,"Comedy, Family, Fantasy",46,6.1,193860,tt0170016,37,['myTaigPrbsg'],3228780,207635884,143651245,582632036,94230110,Family,2000,11
1,2000-12-22 00:00:00+00:00,Cast Away,Original Screenplay,85000000,28883406,233632142,384884272,193598374,427230516,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 2 Oscars. Another 15 wins & 35 nominations.,PG-13,143,"Adventure, Drama, Romance",73,7.8,491190,tt0162222,35,"['4olwbrY2kwE', 'yY9Nm4RF-K0']",599674,140028520,318932868,703817140,47582360,Adventure,2000,12
2,2000-05-24 00:00:00+00:00,Mission: Impossible II,Based on TV,120000000,57845297,215409889,364078672,334178627,549588516,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",12 wins & 20 nominations.,PG-13,123,"Action, Adventure, Thriller",59,6.1,299689,tt0120755,20,['vIpqpRuGrq4'],1172601,202820032,564817665,928896337,97768208,Adventure,2000,5
3,2000-05-05 00:00:00+00:00,Gladiator,Original Screenplay,103000000,34819017,187683805,317130387,270000000,457683805,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Won 5 Oscars. Another 54 wins & 104 nominations.,R,155,"Action, Adventure, Drama",67,8.5,1265367,tt0172495,104,"['owK1qxDselE', 'AxQajgTyLcM']",2262657,174039682,456220527,773350914,58833889,Action,2000,5
4,2000-12-15 00:00:00+00:00,What Women Want,Original Screenplay,65000000,33614543,182805123,303565725,191300000,374105123,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,PG-13,127,"Comedy, Fantasy, Romance",47,6.4,184860,tt0207201,8,['VFwHs7fEUNs'],1315229,107938835,317672296,621238021,55820225,Comedy,2000,12
5,2000-06-30 00:00:00+00:00,The Perfect Storm,Based on Factual Book/Article,120000000,41325042,182618434,308655646,146093000,328711434,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,PG-13,130,"Action, Adventure, Drama, Thriller",59,6.4,149878,tt0177971,25,['T2hBBONbMCo'],87080,202820036,246921563,555577209,69846221,Drama,2000,6
6,2000-10-06 00:00:00+00:00,Meet the Parents,Original Screenplay,55000000,28623300,166225040,280553027,164200000,330425040,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108,"Comedy, Romance",73,7,298740,tt0212338,14,['I18TOdCvvdM'],17461,92828472,277135183,557688210,48310130,Comedy,2000,10
7,2000-07-14 00:00:00+00:00,X-Men,Based on Comic/Graphic Novel,75000000,54471475,157299717,265862778,139572650,296872367,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",13 wins & 26 nominations.,PG-13,104,"Action, Adventure, Sci-Fi",64,7.4,551162,tt0120903,26,[],,126762518,235901075,501763853,92065885,Adventure,2000,7
8,2000-07-07 00:00:00+00:00,Scary Movie,Original Screenplay,19000000,42346669,157019771,265389623,120180229,277200000,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",7 wins & 5 nominations.,R,88,Comedy,48,6.2,221226,tt0175142,5,['LPI47v23wo0'],876754,32113171,203124647,468514270,71572939,Comedy,2000,7
9,2000-07-21 00:00:00+00:00,What Lies Beneath,Original Screenplay,90000000,29702959,155464351,262760705,133229638,288693989,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",7 wins & 5 nominations.,PG-13,130,"Drama, Fantasy, Horror, Mystery, Thriller",51,6.6,113442,tt0161081,5,['RmvKSL6WUic'],132065,152115023,225180328,487941033,50202959,Drama,2000,7
