,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
0,How the Grinch Stole Christmas,"Nov 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Won 1 Oscar. Another 17 wins & 37 nominations.,PG,104 min,"Comedy, Family, Fantasy",46,6.1,"193,860",tt0170016,37
1,Cast Away,"Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 2 Oscars. Another 15 wins & 35 nominations.,PG-13,143 min,"Adventure, Drama, Romance",73,7.8,"491,190",tt0162222,35
2,Mission: Impossible II,"May 24, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",12 wins & 20 nominations.,PG-13,123 min,"Action, Adventure, Thriller",59,6.1,"299,689",tt0120755,20
3,Gladiator,"May 5, 2000","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Won 5 Oscars. Another 54 wins & 104 nominations.,R,155 min,"Action, Adventure, Drama",67,8.5,"1,265,367",tt0172495,104
4,What Women Want,"Dec 15, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,PG-13,127 min,"Comedy, Fantasy, Romance",47,6.4,"184,860",tt0207201,8
5,The Perfect Storm,"Jun 30, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,PG-13,130 min,"Action, Adventure, Drama, Thriller",59,6.4,"149,878",tt0177971,25
6,Meet the Parents,"Oct 6, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108 min,"Comedy, Romance",73,7.0,"298,740",tt0212338,14
7,X-Men,"Jul 14, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",13 wins & 26 nominations.,PG-13,104 min,"Action, Adventure, Sci-Fi",64,7.4,"551,162",tt0120903,26
8,Scary Movie,"Jul 7, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",7 wins & 5 nominations.,R,88 min,Comedy,48,6.2,"221,226",tt0175142,5
9,What Lies Beneath,"Jul 21, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",7 wins & 5 nominations.,PG-13,130 min,"Drama, Fantasy, Horror, Mystery, Thriller",51,6.6,"113,442",tt0161081,5
10,Dinosaur,"May 19, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",4 wins & 21 nominations.,PG,82 min,"Animation, Adventure, Family, Thriller",56,6.5,"49,992",tt0130623,21
11,"Crouching Tiger, Hidden Dragon","Dec 8, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 4 Oscars. Another 97 wins & 133 nominations.,PG-13,120 min,"Action, Adventure, Fantasy, Romance",94,7.8,"245,063",tt0190332,133
12,Erin Brockovich,"Mar 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Oscar. Another 32 wins & 59 nominations.,R,131 min,"Biography, Drama",73,7.3,"163,936",tt0195685,59
