,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
0,How the Grinch Stole Christmas,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Won 1 Oscar. Another 17 wins & 37 nominations.,PG,104 min,"Comedy, Family, Fantasy",46.0,6.1,"193,860",tt0170016,37
1,Cast Away,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 2 Oscars. Another 15 wins & 35 nominations.,PG-13,143 min,"Adventure, Drama, Romance",73.0,7.8,"491,190",tt0162222,35
2,Gladiator,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Won 5 Oscars. Another 54 wins & 104 nominations.,R,155 min,"Action, Adventure, Drama",67.0,8.5,"1,265,367",tt0172495,104
3,What Women Want,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,PG-13,127 min,"Comedy, Fantasy, Romance",47.0,6.4,"184,860",tt0207201,8
4,The Perfect Storm,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,PG-13,130 min,"Action, Adventure, Drama, Thriller",59.0,6.4,"149,878",tt0177971,25
5,Meet the Parents,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108 min,"Comedy, Romance",73.0,7.0,"298,740",tt0212338,14
6,X-Men,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",13 wins & 26 nominations.,PG-13,104 min,"Action, Adventure, Sci-Fi",64.0,7.4,"549,331",tt0120903,26
7,Scary Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",7 wins & 5 nominations.,R,88 min,Comedy,48.0,6.2,"221,226",tt0175142,5
8,What Lies Beneath,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",7 wins & 5 nominations.,PG-13,130 min,"Drama, Fantasy, Horror, Mystery, Thriller",51.0,6.6,"113,442",tt0161081,5
9,Dinosaur,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",4 wins & 21 nominations.,PG,82 min,"Animation, Adventure, Family, Thriller",56.0,6.5,"49,700",tt0130623,21
10,"Crouching Tiger, Hidden Dragon","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 4 Oscars. Another 97 wins & 133 nominations.,PG-13,120 min,"Action, Adventure, Fantasy, Romance",94.0,7.8,"245,063",tt0190332,133
11,Erin Brockovich,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Oscar. Another 32 wins & 59 nominations.,R,131 min,"Biography, Drama",73.0,7.3,"163,936",tt0195685,59
12,Charlie's Angels,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",15 wins & 30 nominations.,PG-13,98 min,"Action, Adventure, Comedy, Crime, Thriller",52.0,5.5,"169,226",tt0160127,30
13,Traffic,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 4 Oscars. Another 70 wins & 86 nominations.,R,147 min,"Crime, Drama, Thriller",86.0,7.6,"189,615",tt0181865,86
14,Nutty Professor II: The Klumps,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",2 wins & 14 nominations.,PG-13,106 min,"Comedy, Romance, Sci-Fi",38.0,4.4,"46,618",tt0144528,14
15,Big Momma's House,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",1 win & 9 nominations.,PG-13,99 min,"Action, Comedy, Crime",33.0,5.2,"77,737",tt0208003,9
16,Remember the Titans,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",8 wins & 18 nominations.,PG,113 min,"Biography, Drama, Sport",48.0,7.8,"189,221",tt0210945,18
17,The Patriot,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,R,165 min,"Action, Drama, History, War",63.0,7.2,"244,227",tt0187393,17
18,Miss Congeniality,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109 min,"Action, Comedy, Crime, Romance",43.0,6.2,"176,450",tt0212346,5
19,Chicken Run,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,G,84 min,"Animation, Adventure, Comedy, Drama, Family",88.0,7.0,"168,732",tt0120630,25
20,Gone in 60 Seconds,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9 wins & 6 nominations.,PG-13,118 min,"Action, Crime, Thriller",35.0,6.5,"251,813",tt0187078,6
21,Unbreakable,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",2 wins & 13 nominations.,PG-13,106 min,"Drama, Mystery, Sci-Fi, Thriller",62.0,7.3,"367,920",tt0217869,13
22,"Me, Myself & Irene","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,116 min,Comedy,49.0,6.6,"214,669",tt0183505,4
23,Space Cowboys,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,PG-13,130 min,"Action, Adventure, Thriller",73.0,6.4,"70,652",tt0186566,8
24,The Emperor's New Groove,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Fantasy",70.0,7.3,"167,931",tt0120917,26
25,Scream 3,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",5 wins & 5 nominations.,R,116 min,"Horror, Mystery",56.0,5.5,"117,923",tt0134084,5
26,U-571,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Won 1 Oscar. Another 3 wins & 10 nominations.,PG-13,116 min,"Action, War",62.0,6.6,"74,029",tt0141926,10
27,Rugrats in Paris,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",3 wins & 7 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Romance",62.0,6.1,"10,420",tt0213203,7
28,The Family Man,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4 wins & 6 nominations.,PG-13,125 min,"Comedy, Drama, Fantasy, Romance",42.0,6.8,"99,571",tt0218967,6
29,Hollow Man,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,R,112 min,"Action, Horror, Sci-Fi, Thriller",24.0,5.8,"117,501",tt0164052,11
30,Chocolat,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 5 Oscars. Another 7 wins & 31 nominations.,PG-13,121 min,"Drama, Romance",64.0,7.2,"171,108",tt0241303,31
31,Shaft,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 13 nominations.,R,99 min,"Action, Crime, Thriller",50.0,5.9,"71,011",tt0162650,13
32,The Kid,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",2 wins.,Not Rated,68 min,"Comedy, Drama, Family",,8.3,"103,044",tt0012349,
33,Road Trip,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",4 wins & 9 nominations.,R,93 min,Comedy,55.0,6.4,"152,165",tt0215129,9
34,Vertical Limit,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124 min,"Action, Adventure, Drama, Thriller",48.0,5.9,"56,381",tt0190865,3
35,102 Dalmatians,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 1 win & 6 nominations.,G,100 min,"Adventure, Comedy, Family",35.0,4.9,"33,011",tt0211181,6
36,Rules of Engagement,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 2 nominations.,R,128 min,"Drama, Thriller, War",45.0,6.4,"42,813",tt0160797,2
37,The Cell,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Nominated for 1 Oscar. Another 6 wins & 24 nominations.,R,107 min,"Horror, Sci-Fi, Thriller",40.0,6.3,"91,999",tt0209958,24
38,Mission to Mars,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",2 nominations.,PG,114 min,"Adventure, Sci-Fi, Thriller",34.0,5.7,"68,308",tt0183523,2
39,Coyote Ugly,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",4 wins & 8 nominations.,PG-13,100 min,"Comedy, Drama, Music, Romance",27.0,5.7,"102,846",tt0200550,8
40,The Whole Nine Yards,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",5 nominations.,R,98 min,"Comedy, Crime",47.0,6.7,"105,772",tt0190138,5
41,Shanghai Noon,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",1 win & 7 nominations.,PG-13,110 min,"Action, Adventure, Comedy, Western",77.0,6.5,"114,518",tt0184894,7
42,Romeo Must Die,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",2 wins & 7 nominations.,R,115 min,"Action, Crime, Thriller",52.0,6.1,"64,572",tt0165929,7
