,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
0,Avatar,"Dec 18, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",Won 3 Oscars. Another 86 wins & 129 nominations.,PG-13,162 min,"Action, Adventure, Fantasy, Sci-Fi",83,7.8,"1,078,016",tt0499549,129
1,Transformers: Revenge of the Fallen,"Jun 24, 2009","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 15 wins & 27 nominations.,PG-13,150 min,"Action, Adventure, Sci-Fi",35,6.0,"371,781",tt1055369,27
2,Harry Potter and the Half-Blood Prince,"Jul 15, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,PG,153 min,"Action, Adventure, Family, Fantasy, Mystery",78,7.6,"439,445",tt0417741,35
3,The Twilight Saga: New Moon,"Nov 20, 2009","[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",20 wins & 24 nominations.,PG-13,130 min,"Adventure, Drama, Fantasy, Mystery, Romance",44,4.7,"254,666",tt1259571,24
4,Up,"May 29, 2009","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Won 2 Oscars. Another 78 wins & 82 nominations.,PG,96 min,"Animation, Adventure, Comedy, Family",88,8.2,"882,822",tt1049413,82
5,The Hangover,"Jun 5, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Golden Globe. Another 12 wins & 25 nominations.,R,100 min,Comedy,73,7.7,"686,734",tt1119646,25
6,Star Trek,"May 8, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",Won 1 Oscar. Another 24 wins & 93 nominations.,PG-13,127 min,"Action, Adventure, Sci-Fi",82,7.9,"564,872",tt0796366,93
7,The Blind Side,"Nov 20, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",Won 1 Oscar. Another 10 wins & 30 nominations.,PG-13,129 min,"Biography, Drama, Sport",53,7.6,"276,730",tt0878804,30
8,Alvin and the Chipmunks: The Squeakquel,"Dec 23, 2009","[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",3 wins.,PG,88 min,"Animation, Comedy, Family, Fantasy, Music",41,4.5,"41,007",tt1231580,
9,Sherlock Holmes,"Dec 25, 2009","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Nominated for 2 Oscars. Another 10 wins & 29 nominations.,PG-13,128 min,"Action, Adventure, Crime, Mystery, Thriller",57,7.6,"562,264",tt0988045,29
