,Released,Title,Source,"Production Budget","Opening Weekend Revenue","Domestic Box Office","Infl. Adj. Dom. Box Office","International Box Office","Worldwide Box Office",ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount
0,"Nov 17, 2000",How the Grinch Stole Christmas,Based on Fiction Book/Short Story,"$123,000,000","$55,820,330","$260,044,825","$438,980,791","$85,096,578","$345,141,403","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Won 1 Oscar. Another 17 wins & 37 nominations.,PG,104 min,"Comedy, Family, Fantasy",46.0,6.1,"193,860",tt0170016,37.0,['myTaigPrbsg'],3226963
1,"Dec 22, 2000",Cast Away,Original Screenplay,"$85,000,000","$28,883,406","$233,632,142","$384,884,272","$193,598,374","$427,230,516","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 2 Oscars. Another 15 wins & 35 nominations.,PG-13,143 min,"Adventure, Drama, Romance",73.0,7.8,"491,190",tt0162222,35.0,"['4olwbrY2kwE', 'yY9Nm4RF-K0']",598437
2,"May 24, 2000",Mission: Impossible II,Based on TV,"$120,000,000","$57,845,297","$215,409,889","$364,078,672","$334,178,627","$549,588,516","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",12 wins & 20 nominations.,PG-13,123 min,"Action, Adventure, Thriller",59.0,6.1,"299,689",tt0120755,20.0,['vIpqpRuGrq4'],1171309
3,"May 5, 2000",Gladiator,Original Screenplay,"$103,000,000","$34,819,017","$187,683,805","$317,130,387","$270,000,000","$457,683,805","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Won 5 Oscars. Another 54 wins & 104 nominations.,R,155 min,"Action, Adventure, Drama",67.0,8.5,"1,265,367",tt0172495,104.0,"['owK1qxDselE', 'AxQajgTyLcM']",2259163
4,"Dec 15, 2000",What Women Want,Original Screenplay,"$65,000,000","$33,614,543","$182,805,123","$303,565,725","$191,300,000","$374,105,123","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,PG-13,127 min,"Comedy, Fantasy, Romance",47.0,6.4,"184,860",tt0207201,8.0,['VFwHs7fEUNs'],1313029
5,"Jun 30, 2000",The Perfect Storm,Based on Factual Book/Article,"$120,000,000","$41,325,042","$182,618,434","$308,655,646","$146,093,000","$328,711,434","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,PG-13,130 min,"Action, Adventure, Drama, Thriller",59.0,6.4,"149,878",tt0177971,25.0,['T2hBBONbMCo'],86797
6,"Oct 6, 2000",Meet the Parents,Original Screenplay,"$55,000,000","$28,623,300","$166,225,040","$280,553,027","$164,200,000","$330,425,040","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108 min,"Comedy, Romance",73.0,7.0,"298,740",tt0212338,14.0,['I18TOdCvvdM'],17435
7,"Jul 14, 2000",X-Men,Based on Comic/Graphic Novel,"$75,000,000","$54,471,475","$157,299,717","$265,862,778","$139,572,650","$296,872,367","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",13 wins & 26 nominations.,PG-13,104 min,"Action, Adventure, Sci-Fi",64.0,7.4,"551,162",tt0120903,26.0,"['Jer8XjMrUB4', 'COvnHv42T-A', 'PfBVIHgQbYk']",54748336
8,"Jul 7, 2000",Scary Movie,Original Screenplay,"$19,000,000","$42,346,669","$157,019,771","$265,389,623","$120,180,229","$277,200,000","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",7 wins & 5 nominations.,R,88 min,Comedy,48.0,6.2,"221,226",tt0175142,5.0,['LPI47v23wo0'],874781
9,"Jul 21, 2000",What Lies Beneath,Original Screenplay,"$90,000,000","$29,702,959","$155,464,351","$262,760,705","$133,229,638","$288,693,989","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",7 wins & 5 nominations.,PG-13,130 min,"Drama, Fantasy, Horror, Mystery, Thriller",51.0,6.6,"113,442",tt0161081,5.0,['RmvKSL6WUic'],131642
10,"May 19, 2000",Dinosaur,Original Screenplay,"$127,500,000","$38,854,851","$137,748,063","$232,817,219","$218,400,000","$356,148,063","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",4 wins & 21 nominations.,PG,82 min,"Animation, Adventure, Family, Thriller",56.0,6.5,"49,992",tt0130623,21.0,"['8lsIrASLD-Q', 'O-RgquKVTPE', 'daFnEiLEx70']",18994875
11,"Dec 8, 2000","Crouching Tiger, Hidden Dragon",Based on Fiction Book/Short Story,"$15,000,000","$663,205","$128,067,808","$207,214,821","$85,446,864","$213,514,672","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 4 Oscars. Another 97 wins & 133 nominations.,PG-13,120 min,"Action, Adventure, Fantasy, Romance",94.0,7.8,"245,063",tt0190332,133.0,['WdhvxJZDqzU'],4082516
12,"Mar 17, 2000",Erin Brockovich,Based on Real Life Events,"$50,000,000","$28,138,465","$125,548,685","$212,198,237","$132,256,558","$257,805,243","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Oscar. Another 32 wins & 59 nominations.,R,131 min,"Biography, Drama",73.0,7.3,"163,936",tt0195685,59.0,['keZXGaDvK2s'],30692
13,"Nov 3, 2000",Charlie's Angels,Based on TV,"$90,000,000","$40,128,550","$125,305,545","$211,585,489","$134,430,545","$259,736,090","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",15 wins & 30 nominations.,PG-13,98 min,"Action, Adventure, Comedy, Crime, Thriller",52.0,5.5,"169,226",tt0160127,30.0,['RSUq4VfWfjE'],21055839
14,"Dec 27, 2000",Traffic,Based on TV,"$48,000,000","$184,725","$124,107,476","$199,785,980","$84,192,524","$208,300,000","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 4 Oscars. Another 70 wins & 86 nominations.,R,147 min,"Crime, Drama, Thriller",86.0,7.6,"189,615",tt0181865,86.0,['g3Du7F7htXc'],20534
15,"Jul 28, 2000",Nutty Professor II: The Klumps,Remake,"$84,000,000","$42,518,830","$123,307,945","$208,411,010","$43,000,000","$166,307,945","[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",2 wins & 14 nominations.,PG-13,106 min,"Comedy, Romance, Sci-Fi",38.0,4.4,"46,805",tt0144528,14.0,['X5BnhugnRR8'],4011
16,"Jun 2, 2000",Big Momma's House,Original Screenplay,"$33,000,000","$25,661,041","$117,559,438","$198,695,076","$56,000,000","$173,559,438","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",1 win & 9 nominations.,PG-13,99 min,"Action, Comedy, Crime",33.0,5.2,"77,737",tt0208003,9.0,['njhwlzuPXv4'],15309
17,"Sep 29, 2000",Remember the Titans,Based on Real Life Events,"$30,000,000","$20,905,831","$115,654,751","$195,321,944","$21,051,932","$136,706,683","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",8 wins & 18 nominations.,PG,113 min,"Biography, Drama, Sport",48.0,7.8,"189,221",tt0210945,18.0,['nPhu9XsRl4M'],1713860
18,"Jun 28, 2000",The Patriot,Original Screenplay,"$110,000,000","$22,413,710","$113,330,342","$191,547,197","$101,969,658","$215,300,000","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,R,165 min,"Action, Drama, History, War",63.0,7.2,"244,227",tt0187393,17.0,['R_C_dPHEWN0'],83668
19,"Dec 22, 2000",Miss Congeniality,Original Screenplay,"$45,000,000","$13,853,686","$106,807,667","$175,650,939","$106,613,284","$213,420,951","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109 min,"Action, Comedy, Crime, Romance",43.0,6.2,"176,450",tt0212346,5.0,['8emJD-rR9Cs'],779630
20,"Jun 21, 2000",Chicken Run,Original Screenplay,"$42,000,000","$17,506,162","$106,793,915","$180,499,546","$121,000,000","$227,793,915","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,G,84 min,"Animation, Adventure, Comedy, Drama, Family",88.0,7.0,"168,732",tt0120630,25.0,['jevaUcKLoMY'],78714
21,"Jun 9, 2000",Gone in 60 Seconds,Remake,"$103,300,000","$25,336,048","$101,643,008","$171,793,647","$131,000,000","$232,643,008","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9 wins & 6 nominations.,PG-13,118 min,"Action, Crime, Thriller",35.0,6.5,"251,813",tt0187078,6.0,['1HiKyQMyq_Q'],22822
22,"Nov 22, 2000",Unbreakable,Original Screenplay,"$73,243,106","$30,330,771","$94,999,143","$160,164,067","$153,100,000","$248,099,143","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",2 wins & 13 nominations.,PG-13,106 min,"Drama, Mystery, Sci-Fi, Thriller",62.0,7.3,"370,337",tt0217869,13.0,"['UM-Xo8aSbcI', 'h5eCFjjQFxY']",1630633
23,"Jun 23, 2000","Me, Myself & Irene",Original Screenplay,"$51,000,000","$24,209,385","$90,570,999","$153,080,104","$58,700,000","$149,270,999","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,116 min,Comedy,49.0,6.6,"214,669",tt0183505,4.0,['ssx_riw1Y9Y'],944378
24,"Aug 4, 2000",Space Cowboys,Original Screenplay,"$65,000,000","$18,093,776","$90,454,043","$152,860,316","$38,420,000","$128,874,043","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,PG-13,130 min,"Action, Adventure, Thriller",73.0,6.4,"70,652",tt0186566,8.0,['7PAZBAV43Zw'],296394
25,"Dec 15, 2000",The Emperor's New Groove,Original Screenplay,"$100,000,000","$9,812,302","$89,296,573","$147,823,260","$80,000,000","$169,296,573","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Fantasy",70.0,7.3,"167,931",tt0120917,26.0,"['Hjvy8vc39kw', 'zefYX6e1g3Y']",2376205
26,"Feb 4, 2000",Scream 3,Original Screenplay,"$40,000,000","$34,713,342","$89,138,076","$150,658,228","$72,700,000","$161,838,076","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",5 wins & 5 nominations.,R,116 min,"Horror, Mystery",56.0,5.5,"117,923",tt0134084,5.0,['bYi-rmHfrP8'],665518
27,"Apr 21, 2000",U-571,Original Screenplay,"$62,000,000","$19,553,310","$77,086,030","$130,288,259","$50,544,000","$127,630,030","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Won 1 Oscar. Another 3 wins & 10 nominations.,PG-13,116 min,"Action, War",62.0,6.6,"74,029",tt0141926,10.0,"['2imOf6-H3tI', 'oHvDBE5O09o']",867362
28,"Nov 17, 2000",Rugrats in Paris,Based on TV,"$30,000,000","$22,718,184","$76,501,438","$128,873,212","$26,783,375","$103,284,813","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",3 wins & 7 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Romance",62.0,6.1,"10,548",tt0213203,7.0,['F8riqB7r5EQ'],821545
29,"Dec 22, 2000",The Family Man,Original Screenplay,"$60,000,000","$15,104,055","$75,764,085","$125,423,938","$48,951,778","$124,715,863","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4 wins & 6 nominations.,PG-13,125 min,"Comedy, Drama, Fantasy, Romance",42.0,6.8,"99,571",tt0218967,6.0,['vy5pt3FT5Tk'],10126
30,"Aug 4, 2000",Hollow Man,Original Screenplay,"$90,000,000","$26,414,386","$73,209,340","$123,736,001","$117,990,660","$191,200,000","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,R,112 min,"Action, Horror, Sci-Fi, Thriller",24.0,5.8,"117,501",tt0164052,11.0,['XufZT_CRW88'],255729
31,"Dec 15, 2000",Chocolat,Based on Fiction Book/Short Story,"$25,000,000","$157,624","$71,309,760","$115,118,524","$81,190,583","$152,500,343","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 5 Oscars. Another 7 wins & 31 nominations.,PG-13,121 min,"Drama, Romance",64.0,7.2,"171,108",tt0241303,31.0,['692hOJq1KJE'],450786
32,"Jun 16, 2000",Shaft,Remake,"$53,012,938","$21,714,757","$70,327,868","$118,865,832","$36,862,240","$107,190,108","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 13 nominations.,R,99 min,"Action, Crime, Thriller",50.0,5.9,"71,011",tt0162650,13.0,['lD41XdWcmbY'],14742786
33,"Jul 7, 2000",The Kid,Original Screenplay,"$65,000,000","$12,687,726","$69,688,384","$117,785,003",$0,"$69,688,384","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",2 wins.,Not Rated,68 min,"Comedy, Drama, Family",,8.3,"103,044",tt0012349,,['nTlUxNzt5Kw'],325672
34,"May 19, 2000",Road Trip,Original Screenplay,"$16,000,000","$15,484,004","$68,525,609","$115,819,721","$51,213,501","$119,739,110","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",4 wins & 9 nominations.,R,93 min,Comedy,55.0,6.4,"152,165",tt0215129,9.0,['RXmANh0-2Bg'],1929200
35,"Dec 8, 2000",Vertical Limit,Original Screenplay,"$75,000,000","$15,507,845","$68,473,360","$114,393,550","$145,026,640","$213,500,000","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124 min,"Action, Adventure, Drama, Thriller",48.0,5.9,"56,381",tt0190865,3.0,['WrTFoBHRSxA'],
36,"Nov 22, 2000",102 Dalmatians,Based on Fiction Book/Short Story,"$85,000,000","$19,883,351","$66,941,559","$112,448,565",$0,"$66,941,559","[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 1 win & 6 nominations.,G,100 min,"Adventure, Comedy, Family",35.0,4.9,"33,011",tt0211181,6.0,['7wOwplmoZlg'],69636
37,"Apr 7, 2000",Rules of Engagement,Based on Fiction Book/Short Story,"$60,000,000","$15,011,181","$61,322,858","$103,645,864","$10,397,073","$71,719,931","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 2 nominations.,R,128 min,"Drama, Thriller, War",45.0,6.4,"42,813",tt0160797,2.0,['usKVcBTxkfk'],417509
38,"Aug 18, 2000",The Cell,Original Screenplay,"$35,000,000","$17,515,050","$61,280,963","$103,575,052","$24,630,263","$85,911,226","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Nominated for 1 Oscar. Another 6 wins & 24 nominations.,R,107 min,"Horror, Sci-Fi, Thriller",40.0,6.3,"91,999",tt0209958,24.0,['VvYJkD2nWco'],56470
