Unnamed: 0,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre
0,"Nov 17, 2000",How the Grinch Stole Christmas,Based on Fiction Book/Short Story,123000000,55820330,260044825,438980791,85096578,345141403,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",Won 1 Oscar. Another 17 wins & 37 nominations.,PG,104 min,"Comedy, Family, Fantasy",46.0,6.1,"193,860",tt0170016,37.0,['myTaigPrbsg'],3226963.0,207635884,143651245,582632036,94230110,Family
1,"Dec 22, 2000",Cast Away,Original Screenplay,85000000,28883406,233632142,384884272,193598374,427230516,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 2 Oscars. Another 15 wins & 35 nominations.,PG-13,143 min,"Adventure, Drama, Romance",73.0,7.8,"491,190",tt0162222,35.0,"['4olwbrY2kwE', 'yY9Nm4RF-K0']",598437.0,140028520,318932868,703817140,47582360,Adventure
2,"May 24, 2000",Mission: Impossible II,Based on TV,120000000,57845297,215409889,364078672,334178627,549588516,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",12 wins & 20 nominations.,PG-13,123 min,"Action, Adventure, Thriller",59.0,6.1,"299,689",tt0120755,20.0,['vIpqpRuGrq4'],1171309.0,202820032,564817665,928896337,97768208,Adventure
3,"May 5, 2000",Gladiator,Original Screenplay,103000000,34819017,187683805,317130387,270000000,457683805,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Won 5 Oscars. Another 54 wins & 104 nominations.,R,155 min,"Action, Adventure, Drama",67.0,8.5,"1,265,367",tt0172495,104.0,"['owK1qxDselE', 'AxQajgTyLcM']",2259163.0,174039682,456220527,773350914,58833889,Action
4,"Dec 15, 2000",What Women Want,Original Screenplay,65000000,33614543,182805123,303565725,191300000,374105123,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,PG-13,127 min,"Comedy, Fantasy, Romance",47.0,6.4,"184,860",tt0207201,8.0,['VFwHs7fEUNs'],1313029.0,107938835,317672296,621238021,55820225,Comedy
5,"Jun 30, 2000",The Perfect Storm,Based on Factual Book/Article,120000000,41325042,182618434,308655646,146093000,328711434,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,PG-13,130 min,"Action, Adventure, Drama, Thriller",59.0,6.4,"149,878",tt0177971,25.0,['T2hBBONbMCo'],86797.0,202820036,246921563,555577209,69846221,Drama
6,"Oct 6, 2000",Meet the Parents,Original Screenplay,55000000,28623300,166225040,280553027,164200000,330425040,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108 min,"Comedy, Romance",73.0,7.0,"298,740",tt0212338,14.0,['I18TOdCvvdM'],17435.0,92828472,277135183,557688210,48310130,Comedy
7,"Jul 14, 2000",X-Men,Based on Comic/Graphic Novel,75000000,54471475,157299717,265862778,139572650,296872367,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",13 wins & 26 nominations.,PG-13,104 min,"Action, Adventure, Sci-Fi",64.0,7.4,"551,162",tt0120903,26.0,"['Jer8XjMrUB4', 'COvnHv42T-A', 'PfBVIHgQbYk']",54748336.0,126762518,235901075,501763853,92065885,Adventure
8,"Jul 7, 2000",Scary Movie,Original Screenplay,19000000,42346669,157019771,265389623,120180229,277200000,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",7 wins & 5 nominations.,R,88 min,Comedy,48.0,6.2,"221,226",tt0175142,5.0,['LPI47v23wo0'],874781.0,32113171,203124647,468514270,71572939,Comedy
9,"Jul 21, 2000",What Lies Beneath,Original Screenplay,90000000,29702959,155464351,262760705,133229638,288693989,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",7 wins & 5 nominations.,PG-13,130 min,"Drama, Fantasy, Horror, Mystery, Thriller",51.0,6.6,"113,442",tt0161081,5.0,['RmvKSL6WUic'],131642.0,152115023,225180328,487941033,50202959,Drama
